model,label,noise_type,snr_db,replicate,clean_recall,noisy_recall,recall_loss
cnn,oboe,studio,-10,1,1,0,1
cnn,trombone,studio,-10,1,0.973684210526,0.105263157895,0.868421052632
cnn,trumpet,studio,-10,1,1,0.0153846153846,0.984615384615
cnn,tuba,studio,-10,1,1,0,1
cnn,viola,studio,-10,1,0.971698113208,0.132075471698,0.839622641509
cnn,violin,studio,-10,1,0.953488372093,0.62015503876,0.333333333333
crnn,bassoon,white,50,0,0.876288659794,0.577319587629,0.298969072165
crnn,cello,white,50,0,0.991304347826,0.930434782609,0.0608695652174
crnn,clarinet,white,50,0,1,1,0
crnn,double-bass,white,50,0,1,1,0
crnn,flute,white,50,0,0.991452991453,0.991452991453,0
crnn,french-horn,white,50,0,0.951807228916,0.771084337349,0.180722891566
crnn,oboe,white,50,0,0.987341772152,0.987341772152,0
crnn,trombone,white,50,0,0.991228070175,0.991228070175,0
crnn,trumpet,white,50,0,1,0.584615384615,0.415384615385
crnn,tuba,white,50,0,1,0.298387096774,0.701612903226
crnn,viola,white,50,0,0.990566037736,0.990566037736,0
crnn,violin,white,50,0,0.922480620155,0.945736434109,-0.0232558139535
crnn,bassoon,white,40,0,0.876288659794,0.525773195876,0.350515463918
crnn,cello,white,40,0,0.991304347826,0.860869565217,0.130434782609
crnn,clarinet,white,40,0,1,0.981981981982,0.018018018018
crnn,double-bass,white,40,0,1,1,0
crnn,flute,white,40,0,0.991452991453,0.957264957265,0.034188034188
crnn,french-horn,white,40,0,0.951807228916,0.590361445783,0.361445783133
crnn,oboe,white,40,0,0.987341772152,0.367088607595,0.620253164557
crnn,trombone,white,40,0,0.991228070175,0.991228070175,0
crnn,trumpet,white,40,0,1,0.246153846154,0.753846153846
crnn,tuba,white,40,0,1,0,1
crnn,viola,white,40,0,0.990566037736,0.990566037736,0
crnn,violin,white,40,0,0.922480620155,0.945736434109,-0.0232558139535
crnn,bassoon,white,30,0,0.876288659794,0.515463917526,0.360824742268
crnn,cello,white,30,0,0.991304347826,0.24347826087,0.747826086957
crnn,clarinet,white,30,0,1,0.891891891892,0.108108108108
crnn,double-bass,white,30,0,1,0.826086956522,0.173913043478
crnn,flute,white,30,0,0.991452991453,0.897435897436,0.0940170940171
crnn,french-horn,white,30,0,0.951807228916,0.192771084337,0.759036144578
crnn,oboe,white,30,0,0.987341772152,0,0.987341772152
crnn,trombone,white,30,0,0.991228070175,0.842105263158,0.149122807018
crnn,trumpet,white,30,0,1,0.0307692307692,0.969230769231
crnn,tuba,white,30,0,1,0,1
crnn,viola,white,30,0,0.990566037736,0.896226415094,0.0943396226415
crnn,violin,white,30,0,0.922480620155,0.891472868217,0.031007751938
crnn,bassoon,white,20,0,0.876288659794,0.257731958763,0.618556701031
crnn,cello,white,20,0,0.991304347826,0,0.991304347826
crnn,clarinet,white,20,0,1,0.927927927928,0.0720720720721
crnn,double-bass,white,20,0,1,0,1
crnn,flute,white,20,0,0.991452991453,0.880341880342,0.111111111111
crnn,french-horn,white,20,0,0.951807228916,0.0120481927711,0.939759036145
crnn,oboe,white,20,0,0.987341772152,0,0.987341772152
crnn,trombone,white,20,0,0.991228070175,0.736842105263,0.254385964912
crnn,trumpet,white,20,0,1,0.0153846153846,0.984615384615
crnn,tuba,white,20,0,1,0,1
crnn,viola,white,20,0,0.990566037736,0.141509433962,0.849056603774
crnn,violin,white,20,0,0.922480620155,0.759689922481,0.162790697674
crnn,bassoon,white,10,0,0.876288659794,0,0.876288659794
crnn,cello,white,10,0,0.991304347826,0,0.991304347826
crnn,clarinet,white,10,0,1,0,1
crnn,double-bass,white,10,0,1,0,1
crnn,flute,white,10,0,0.991452991453,0.931623931624,0.0598290598291
crnn,french-horn,white,10,0,0.951807228916,0,0.951807228916
crnn,oboe,white,10,0,0.987341772152,0,0.987341772152
crnn,trombone,white,10,0,0.991228070175,0.771929824561,0.219298245614
crnn,trumpet,white,10,0,1,0.0615384615385,0.938461538462
crnn,tuba,white,10,0,1,0,1
crnn,viola,white,10,0,0.990566037736,0,0.990566037736
crnn,violin,white,10,0,0.922480620155,0.643410852713,0.279069767442
crnn,bassoon,white,0,0,0.876288659794,0,0.876288659794
crnn,cello,white,0,0,0.991304347826,0,0.991304347826
crnn,clarinet,white,0,0,1,0,1
crnn,double-bass,white,0,0,1,0,1
crnn,flute,white,0,0,0.991452991453,0.00854700854701,0.982905982906
crnn,french-horn,white,0,0,0.951807228916,0,0.951807228916
crnn,oboe,white,0,0,0.987341772152,0,0.987341772152
crnn,trombone,white,0,0,0.991228070175,0.219298245614,0.771929824561
crnn,trumpet,white,0,0,1,0,1
crnn,tuba,white,0,0,1,0,1
crnn,viola,white,0,0,0.990566037736,0,0.990566037736
crnn,violin,white,0,0,0.922480620155,1,-0.077519379845
crnn,bassoon,white,-5,0,0.876288659794,0,0.876288659794
crnn,cello,white,-5,0,0.991304347826,0,0.991304347826
crnn,clarinet,white,-5,0,1,0,1
crnn,double-bass,white,-5,0,1,0,1
crnn,flute,white,-5,0,0.991452991453,0,0.991452991453
crnn,french-horn,white,-5,0,0.951807228916,0,0.951807228916
crnn,oboe,white,-5,0,0.987341772152,0,0.987341772152
crnn,trombone,white,-5,0,0.991228070175,0.0526315789474,0.938596491228
crnn,trumpet,white,-5,0,1,0,1
crnn,tuba,white,-5,0,1,0,1
crnn,viola,white,-5,0,0.990566037736,0,0.990566037736
crnn,violin,white,-5,0,0.922480620155,1,-0.077519379845
crnn,bassoon,white,-10,0,0.876288659794,0,0.876288659794
crnn,cello,white,-10,0,0.991304347826,0,0.991304347826
crnn,clarinet,white,-10,0,1,0,1
crnn,double-bass,white,-10,0,1,0,1
crnn,flute,white,-10,0,0.991452991453,0,0.991452991453
crnn,french-horn,white,-10,0,0.951807228916,0,0.951807228916
crnn,oboe,white,-10,0,0.987341772152,0,0.987341772152
crnn,trombone,white,-10,0,0.991228070175,0,0.991228070175
crnn,trumpet,white,-10,0,1,0,1
crnn,tuba,white,-10,0,1,0,1
crnn,viola,white,-10,0,0.990566037736,0,0.990566037736
crnn,violin,white,-10,0,0.922480620155,1,-0.077519379845
crnn,bassoon,white,50,1,0.876288659794,0.618556701031,0.257731958763
crnn,cello,white,50,1,0.991304347826,0.930434782609,0.0608695652174
crnn,clarinet,white,50,1,1,1,0
crnn,double-bass,white,50,1,1,1,0
crnn,flute,white,50,1,0.991452991453,0.991452991453,0
crnn,french-horn,white,50,1,0.951807228916,0.759036144578,0.192771084337
crnn,oboe,white,50,1,0.987341772152,0.987341772152,0
crnn,trombone,white,50,1,0.991228070175,0.991228070175,0
crnn,trumpet,white,50,1,1,0.584615384615,0.415384615385
crnn,tuba,white,50,1,1,0.306451612903,0.693548387097
crnn,viola,white,50,1,0.990566037736,0.990566037736,0
crnn,violin,white,50,1,0.922480620155,0.945736434109,-0.0232558139535
crnn,bassoon,white,40,1,0.876288659794,0.494845360825,0.381443298969
crnn,cello,white,40,1,0.991304347826,0.886956521739,0.104347826087
crnn,clarinet,white,40,1,1,0.981981981982,0.018018018018
crnn,double-bass,white,40,1,1,1,0
crnn,flute,white,40,1,0.991452991453,0.957264957265,0.034188034188
crnn,french-horn,white,40,1,0.951807228916,0.602409638554,0.349397590361
crnn,oboe,white,40,1,0.987341772152,0.354430379747,0.632911392405
crnn,trombone,white,40,1,0.991228070175,0.991228070175,0
crnn,trumpet,white,40,1,1,0.276923076923,0.723076923077
crnn,tuba,white,40,1,1,0,1
crnn,viola,white,40,1,0.990566037736,0.990566037736,0
crnn,violin,white,40,1,0.922480620155,0.961240310078,-0.0387596899225
crnn,bassoon,white,30,1,0.876288659794,0.484536082474,0.39175257732
crnn,cello,white,30,1,0.991304347826,0.234782608696,0.75652173913
crnn,clarinet,white,30,1,1,0.873873873874,0.126126126126
crnn,double-bass,white,30,1,1,0.834782608696,0.165217391304
crnn,flute,white,30,1,0.991452991453,0.897435897436,0.0940170940171
crnn,french-horn,white,30,1,0.951807228916,0.168674698795,0.78313253012
crnn,oboe,white,30,1,0.987341772152,0,0.987341772152
crnn,trombone,white,30,1,0.991228070175,0.842105263158,0.149122807018
crnn,trumpet,white,30,1,1,0.0307692307692,0.969230769231
crnn,tuba,white,30,1,1,0,1
crnn,viola,white,30,1,0.990566037736,0.896226415094,0.0943396226415
crnn,violin,white,30,1,0.922480620155,0.906976744186,0.015503875969
crnn,bassoon,white,20,1,0.876288659794,0.247422680412,0.628865979381
crnn,cello,white,20,1,0.991304347826,0,0.991304347826
crnn,clarinet,white,20,1,1,0.90990990991,0.0900900900901
crnn,double-bass,white,20,1,1,0.00869565217391,0.991304347826
crnn,flute,white,20,1,0.991452991453,0.871794871795,0.119658119658
crnn,french-horn,white,20,1,0.951807228916,0.0120481927711,0.939759036145
crnn,oboe,white,20,1,0.987341772152,0,0.987341772152
crnn,trombone,white,20,1,0.991228070175,0.754385964912,0.236842105263
crnn,trumpet,white,20,1,1,0.0153846153846,0.984615384615
crnn,tuba,white,20,1,1,0,1
crnn,viola,white,20,1,0.990566037736,0.141509433962,0.849056603774
crnn,violin,white,20,1,0.922480620155,0.759689922481,0.162790697674
crnn,bassoon,white,10,1,0.876288659794,0,0.876288659794
crnn,cello,white,10,1,0.991304347826,0,0.991304347826
crnn,clarinet,white,10,1,1,0,1
crnn,double-bass,white,10,1,1,0,1
crnn,flute,white,10,1,0.991452991453,0.931623931624,0.0598290598291
crnn,french-horn,white,10,1,0.951807228916,0,0.951807228916
crnn,oboe,white,10,1,0.987341772152,0,0.987341772152
crnn,trombone,white,10,1,0.991228070175,0.763157894737,0.228070175439
crnn,trumpet,white,10,1,1,0.0769230769231,0.923076923077
crnn,tuba,white,10,1,1,0,1
crnn,viola,white,10,1,0.990566037736,0,0.990566037736
crnn,violin,white,10,1,0.922480620155,0.658914728682,0.263565891473
crnn,bassoon,white,0,1,0.876288659794,0,0.876288659794
crnn,cello,white,0,1,0.991304347826,0,0.991304347826
crnn,clarinet,white,0,1,1,0,1
crnn,double-bass,white,0,1,1,0,1
crnn,flute,white,0,1,0.991452991453,0,0.991452991453
crnn,french-horn,white,0,1,0.951807228916,0,0.951807228916
crnn,oboe,white,0,1,0.987341772152,0,0.987341772152
crnn,trombone,white,0,1,0.991228070175,0.219298245614,0.771929824561
crnn,trumpet,white,0,1,1,0,1
crnn,tuba,white,0,1,1,0,1
crnn,viola,white,0,1,0.990566037736,0,0.990566037736
crnn,violin,white,0,1,0.922480620155,1,-0.077519379845
crnn,bassoon,white,-5,1,0.876288659794,0,0.876288659794
crnn,cello,white,-5,1,0.991304347826,0,0.991304347826
crnn,clarinet,white,-5,1,1,0,1
crnn,double-bass,white,-5,1,1,0,1
crnn,flute,white,-5,1,0.991452991453,0,0.991452991453
crnn,french-horn,white,-5,1,0.951807228916,0,0.951807228916
crnn,oboe,white,-5,1,0.987341772152,0,0.987341772152
crnn,trombone,white,-5,1,0.991228070175,0.0701754385965,0.921052631579
crnn,trumpet,white,-5,1,1,0,1
crnn,tuba,white,-5,1,1,0,1
crnn,viola,white,-5,1,0.990566037736,0,0.990566037736
crnn,violin,white,-5,1,0.922480620155,1,-0.077519379845
crnn,bassoon,white,-10,1,0.876288659794,0,0.876288659794
crnn,cello,white,-10,1,0.991304347826,0,0.991304347826
crnn,clarinet,white,-10,1,1,0,1
crnn,double-bass,white,-10,1,1,0,1
crnn,flute,white,-10,1,0.991452991453,0,0.991452991453
crnn,french-horn,white,-10,1,0.951807228916,0,0.951807228916
crnn,oboe,white,-10,1,0.987341772152,0,0.987341772152
crnn,trombone,white,-10,1,0.991228070175,0,0.991228070175
crnn,trumpet,white,-10,1,1,0,1
crnn,tuba,white,-10,1,1,0,1
crnn,viola,white,-10,1,0.990566037736,0,0.990566037736
crnn,violin,white,-10,1,0.922480620155,1,-0.077519379845
crnn,bassoon,audience,50,0,0.876288659794,0.876288659794,0
crnn,cello,audience,50,0,0.991304347826,0.991304347826,0
crnn,clarinet,audience,50,0,1,1,0
crnn,double-bass,audience,50,0,1,1,0
crnn,flute,audience,50,0,0.991452991453,0.982905982906,0.00854700854701
crnn,french-horn,audience,50,0,0.951807228916,0.903614457831,0.0481927710843
crnn,oboe,audience,50,0,0.987341772152,1,-0.0126582278481
crnn,trombone,audience,50,0,0.991228070175,0.982456140351,0.00877192982456
crnn,trumpet,audience,50,0,1,1,0
crnn,tuba,audience,50,0,1,0.983870967742,0.0161290322581
crnn,viola,audience,50,0,0.990566037736,0.990566037736,0
crnn,violin,audience,50,0,0.922480620155,0.922480620155,0
crnn,bassoon,audience,40,0,0.876288659794,0.814432989691,0.0618556701031
crnn,cello,audience,40,0,0.991304347826,0.982608695652,0.00869565217391
crnn,clarinet,audience,40,0,1,1,0
crnn,double-bass,audience,40,0,1,1,0
crnn,flute,audience,40,0,0.991452991453,0.957264957265,0.034188034188
crnn,french-horn,audience,40,0,0.951807228916,0.710843373494,0.240963855422
crnn,oboe,audience,40,0,0.987341772152,0.949367088608,0.0379746835443
crnn,trombone,audience,40,0,0.991228070175,0.973684210526,0.0175438596491
crnn,trumpet,audience,40,0,1,0.861538461538,0.138461538462
crnn,tuba,audience,40,0,1,0.814516129032,0.185483870968
crnn,viola,audience,40,0,0.990566037736,0.990566037736,0
crnn,violin,audience,40,0,0.922480620155,0.891472868217,0.031007751938
crnn,bassoon,audience,30,0,0.876288659794,0.701030927835,0.175257731959
crnn,cello,audience,30,0,0.991304347826,0.869565217391,0.121739130435
crnn,clarinet,audience,30,0,1,1,0
crnn,double-bass,audience,30,0,1,1,0
crnn,flute,audience,30,0,0.991452991453,0.854700854701,0.136752136752
crnn,french-horn,audience,30,0,0.951807228916,0.506024096386,0.44578313253
crnn,oboe,audience,30,0,0.987341772152,0.658227848101,0.329113924051
crnn,trombone,audience,30,0,0.991228070175,0.938596491228,0.0526315789474
crnn,trumpet,audience,30,0,1,0.661538461538,0.338461538462
crnn,tuba,audience,30,0,1,0.41935483871,0.58064516129
