model,instrument_a,instrument_b,noise_type,mean_confusion_increase_auc,min_confusion_increase_auc,max_confusion_increase_auc,n_replicates
cnn,flute,violin,audience,0.0789935731796,0.0718710660571,0.0861160803021,2
cnn,french-horn,oboe,audience,0.000791139240506,0.000791139240506,0.000791139240506,2
cnn,french-horn,trombone,audience,0.0549335499894,0.044881279504,0.0649858204749,2
cnn,french-horn,trumpet,audience,0.00640060240964,0.00476907630522,0.00803212851406,2
cnn,french-horn,tuba,audience,0.000840053763441,0.000672043010753,0.00100806451613,2
cnn,french-horn,viola,audience,0.00294574524513,0.00283681897401,0.00305467151625,2
cnn,french-horn,violin,audience,0.0558483935743,0.054718875502,0.0569779116466,2
cnn,oboe,trombone,audience,0.00646097046414,0.00527426160338,0.00764767932489,2
cnn,oboe,trumpet,audience,0.00201639078221,0.00131856540084,0.00271421616358,2
cnn,oboe,tuba,audience,0,0,0,2
cnn,oboe,viola,audience,0.0147679324895,0.0139767932489,0.01555907173,2
cnn,oboe,violin,audience,0.161392405063,0.159546413502,0.163238396624,2
cnn,trombone,trumpet,audience,0.050088562753,0.0461960188934,0.0539811066127,2
cnn,trombone,tuba,audience,0.0929099462366,0.0927419354839,0.0930779569892,2
cnn,trombone,viola,audience,0.00360152543308,0.00293432086506,0.0042687300011,2
cnn,trombone,violin,audience,0.0560634264926,0.0491338569291,0.062992996056,2
cnn,trumpet,tuba,audience,0.00252016129032,0.00235215053763,0.00268817204301,2
cnn,trumpet,viola,audience,0.000480769230769,0,0.000961538461538,2
cnn,trumpet,violin,audience,0.100408715961,0.0958407871199,0.104976644802,2
cnn,tuba,viola,audience,0,0,0,2
cnn,tuba,violin,audience,0.0397345430108,0.0386424731183,0.0408266129032,2
cnn,viola,violin,audience,0.0937439057091,0.0847517795329,0.102736031885,2
cnn,bassoon,cello,studio,0.0431318168235,0.041238981025,0.0450246526221,2
cnn,bassoon,clarinet,studio,0.0210481099656,0.0189003436426,0.0231958762887,2
cnn,bassoon,double-bass,studio,0.109128006873,0.105335798596,0.11292021515,2
cnn,bassoon,flute,studio,0.0222293814433,0.0212628865979,0.0231958762887,2
cnn,bassoon,french-horn,studio,-0.00532801308326,-0.00662184821761,-0.00403417794891,2
cnn,bassoon,oboe,studio,-0.0197784810127,-0.0212819174388,-0.0182750445865,2
cnn,bassoon,trombone,studio,0.00942944776029,0.0090206185567,0.00983827696389,2
cnn,bassoon,trumpet,studio,-0.00214776632302,-0.00386597938144,-0.000429553264605,2
cnn,bassoon,tuba,studio,0.00134408602151,0.000672043010753,0.00201612903226,2
cnn,bassoon,viola,studio,0.00751718213058,0.00429553264605,0.0107388316151,2
cnn,bassoon,violin,studio,0.0356462612217,0.0329607208503,0.038331801593,2
cnn,cello,clarinet,studio,0.0223348348348,0.0212087087087,0.023460960961,2
cnn,cello,double-bass,studio,0.125543478261,0.121557971014,0.129528985507,2
cnn,cello,flute,studio,0.0593939675461,0.0563699987613,0.062417936331,2
cnn,cello,french-horn,studio,0.0495787497817,0.0460428671207,0.0531146324428,2
cnn,cello,oboe,studio,0.0599947257384,0.0569620253165,0.0630274261603,2
cnn,cello,trombone,studio,0.0099240401729,0.0076468344775,0.0122012458683,2
cnn,cello,trumpet,studio,0.0025641025641,0.00128205128205,0.00384615384615,2
cnn,cello,tuba,studio,0.00100806451613,0.000672043010753,0.00134408602151,2
cnn,cello,viola,studio,0.0248410582445,0.0200215340443,0.0296605824446,2
cnn,cello,violin,studio,0.0668253567015,0.0646963824289,0.068954330974,2
cnn,clarinet,double-bass,studio,0.0424174174174,0.0422297297297,0.0426051051051,2
cnn,clarinet,flute,studio,0.04004004004,0.0357954107954,0.0442846692847,2
cnn,clarinet,french-horn,studio,0.0283317956511,0.0263554216867,0.0303081696154,2
cnn,clarinet,oboe,studio,0.0369530923328,0.0343254647052,0.0395807199605,2
cnn,clarinet,trombone,studio,0.0210605342184,0.0199640429904,0.0221570254465,2
cnn,clarinet,trumpet,studio,0.0413158350658,0.0408235158235,0.0418081543082,2
