model,instrument_a,instrument_b,noise_type,replicate,confusion_increase_auc
svm,clarinet,double-bass,studio,0,0.0764247943596
svm,clarinet,flute,studio,0,0.129841379841
svm,clarinet,french-horn,studio,0,0.109498806035
svm,clarinet,oboe,studio,0,0.18579655605
svm,clarinet,trombone,studio,0,0.122441520468
svm,clarinet,trumpet,studio,0,0.115604065604
svm,clarinet,tuba,studio,0,0.0803091397849
svm,clarinet,viola,studio,0,0.0844364411581
svm,clarinet,violin,studio,0,0.0805791256373
svm,double-bass,flute,studio,0,0.0253607704695
svm,double-bass,french-horn,studio,0,0.0341365461847
svm,double-bass,oboe,studio,0,0.00210970464135
svm,double-bass,trombone,studio,0,0.0325292397661
svm,double-bass,trumpet,studio,0,0.0182692307692
svm,double-bass,tuba,studio,0,0.169858870968
svm,double-bass,viola,studio,0,0.0240172955975
svm,double-bass,violin,studio,0,0.0235788113695
svm,flute,french-horn,studio,0,0.0145582329317
svm,flute,oboe,studio,0,0.0735759493671
svm,flute,trombone,studio,0,0.0228435672515
svm,flute,trumpet,studio,0,0.0338675213675
svm,flute,tuba,studio,0,0.0085685483871
svm,flute,viola,studio,0,0.0324997984196
svm,flute,violin,studio,0,0.0400475385941
svm,french-horn,oboe,studio,0,-0.00474683544304
svm,french-horn,trombone,studio,0,0.00370120834214
svm,french-horn,trumpet,studio,0,0.0135542168675
svm,french-horn,tuba,studio,0,0.00756048387097
svm,french-horn,viola,studio,0,0.00379821171478
svm,french-horn,violin,studio,0,0.0230923694779
svm,oboe,trombone,studio,0,0
svm,oboe,trumpet,studio,0,-0.00566374553716
svm,oboe,tuba,studio,0,0
svm,oboe,viola,studio,0,0.0108122362869
svm,oboe,violin,studio,0,0.00527426160338
svm,trombone,trumpet,studio,0,0.0478520017994
svm,trombone,tuba,studio,0,0.00201612903226
svm,trombone,viola,studio,0,0.00456871345029
svm,trombone,violin,studio,0,0.0182748538012
svm,trumpet,tuba,studio,0,0
svm,trumpet,viola,studio,0,0.00687590711176
svm,trumpet,violin,studio,0,0.0102564102564
svm,tuba,viola,studio,0,0.00588037634409
svm,tuba,violin,studio,0,0.00436827956989
svm,viola,violin,studio,0,0.0631399005412
svm,bassoon,cello,studio,1,0.0294243986254
svm,bassoon,clarinet,studio,1,0.0975085910653
svm,bassoon,double-bass,studio,1,0.051116838488
svm,bassoon,flute,studio,1,0.0148195876289
svm,bassoon,french-horn,studio,1,0.0154690928663
svm,bassoon,oboe,studio,1,-0.0109726390883
svm,bassoon,trombone,studio,1,0.0058856333273
svm,bassoon,trumpet,studio,1,-0.0137457044674
svm,bassoon,tuba,studio,1,0.000672043010753
svm,bassoon,viola,studio,1,0.00365120274914
svm,bassoon,violin,studio,1,0.0227663230241
svm,cello,clarinet,studio,1,0.110732471602
svm,cello,double-bass,studio,1,0.0884057971014
svm,cello,flute,studio,1,0.0351758949585
svm,cello,french-horn,studio,1,0.0341365461847
svm,cello,oboe,studio,1,0.04694092827
svm,cello,trombone,studio,1,0.00566520467836
svm,cello,trumpet,studio,1,0.0387820512821
svm,cello,tuba,studio,1,0.0124327956989
svm,cello,viola,studio,1,0.0281890894176
svm,cello,violin,studio,1,0.0258187282328
svm,clarinet,double-bass,studio,1,0.0796791356574
svm,clarinet,flute,studio,1,0.165569415569
svm,clarinet,french-horn,studio,1,0.0921184738956
svm,clarinet,oboe,studio,1,0.191857205307
svm,clarinet,trombone,studio,1,0.123923265371
svm,clarinet,trumpet,studio,1,0.115384615385
svm,clarinet,tuba,studio,1,0.0757728494624
svm,clarinet,viola,studio,1,0.0950514193439
svm,clarinet,violin,studio,1,0.0847780920455
svm,double-bass,flute,studio,1,0.0197696023783
svm,double-bass,french-horn,studio,1,0.0336345381526
svm,double-bass,oboe,studio,1,0.00738396624473
svm,double-bass,trombone,studio,1,0.0266812865497
svm,double-bass,trumpet,studio,1,0.0157051282051
svm,double-bass,tuba,studio,1,0.181800783076
svm,double-bass,viola,studio,1,0.0224569319114
svm,double-bass,violin,studio,1,0.0285417368835
svm,flute,french-horn,studio,1,0.0122991967871
svm,flute,oboe,studio,1,0.0588080168776
svm,flute,trombone,studio,1,0.0241228070175
svm,flute,trumpet,studio,1,0.0310897435897
svm,flute,tuba,studio,1,0.00924059139785
svm,flute,viola,studio,1,0.023951110036
svm,flute,violin,studio,1,0.039409825747
svm,french-horn,oboe,studio,1,-0.00474683544304
svm,french-horn,trombone,studio,1,0.00379588529557
svm,french-horn,trumpet,studio,1,0.0170682730924
svm,french-horn,tuba,studio,1,0.00537634408602
svm,french-horn,viola,studio,1,0.00376506024096
svm,french-horn,violin,studio,1,0.015795741104
svm,oboe,trombone,studio,1,0
svm,oboe,trumpet,studio,1,-0.00694579681921
svm,oboe,tuba,studio,1,0
svm,oboe,viola,studio,1,0.0105485232068
svm,oboe,violin,studio,1,0.0102848101266
svm,trombone,trumpet,studio,1,0.0438259109312
svm,trombone,tuba,studio,1,0.00268817204301
svm,trombone,viola,studio,1,0.00493421052632
